City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Barahona,DO,2020-06-18 20:42:55,18.21,-71.1,306.15,52,20,6.2
212,Iqaluit,CA,2020-06-18 20:36:50,63.75,-68.51,279.15,60,90,7.7
213,Linjiang,CN,2020-06-18 20:42:56,41.81,126.91,287.27,85,0,0.57
214,Herat,AF,2020-06-18 20:42:56,34.5,62.0,297.15,26,0,4.1
215,Carnarvon,AU,2020-06-18 20:39:41,-24.87,113.63,287.15,76,0,4.6
216,Malartic,CA,2020-06-18 20:39:22,48.13,-78.13,305.15,25,5,6.2
217,Tateyama,JP,2020-06-18 20:42:56,34.98,139.87,291.15,93,75,2.1
218,San Vicente,AR,2020-06-18 20:42:57,-26.62,-54.13,292.97,82,42,1.64
219,Luderitz,NA,2020-06-18 20:40:36,-26.65,15.16,296.15,23,0,4.1
220,Yakeshi,CN,2020-06-18 20:40:25,49.28,120.73,285.45,91,93,1.5
221,Mackay,AU,2020-06-18 20:39:41,-21.15,149.2,291.15,82,40,5.1
222,Constitucion,CL,2020-06-18 20:40:29,-35.33,-72.42,286.15,88,100,10.97
223,Yerbogachen,RU,2020-06-18 20:42:57,61.28,108.01,286.16,62,93,0.73
224,Port Hedland,AU,2020-06-18 20:36:40,-20.32,118.57,289.15,100,90,2.6
225,Bada,RU,2020-06-18 20:42:58,51.39,109.87,284.0,74,8,0.67
226,Khatanga,RU,2020-06-18 20:40:49,71.97,102.5,284.37,57,55,5.76
227,Senanga,ZM,2020-06-18 20:42:58,-16.12,23.27,284.58,62,0,2.55
228,Shagonar,RU,2020-06-18 20:41:31,51.53,92.8,284.72,72,16,0.43
229,Vao,NC,2020-06-18 20:42:54,-22.67,167.48,295.29,78,86,6.38
230,Lukovetskiy,RU,2020-06-18 20:42:59,64.3,41.92,289.15,55,20,2.0
231,Bilma,NE,2020-06-18 20:41:32,18.69,12.92,305.3,17,0,2.08
232,Sassandra,CI,2020-06-18 20:42:59,4.95,-6.08,297.67,90,100,3.2
233,Smithers,CA,2020-06-18 20:39:18,54.78,-127.17,291.15,59,90,2.1
234,Kabanjahe,ID,2020-06-18 20:42:59,3.1,98.49,298.15,100,40,2.1
235,Northam,GB,2020-06-18 20:43:00,51.03,-4.22,287.04,100,100,4.02
236,Zabol,AF,2020-06-18 20:43:00,32.25,67.25,294.8,19,0,3.36
237,Kimbe,PG,2020-06-18 20:43:00,-5.55,150.14,298.25,84,3,2.04
238,Ancud,CL,2020-06-18 20:39:48,-41.87,-73.82,283.15,87,75,4.1
239,Lodja,CD,2020-06-18 20:43:00,-3.48,23.43,294.02,52,12,0.31
